question,answer
What are the main EEG changes in Alzheimer's disease?,"In Alzheimer's disease, EEG typically shows slowing of the dominant posterior rhythm, increased delta and theta power, decreased alpha and beta power, reduced coherence between brain regions, slowed EEG background activity, and increased EEG complexity measures. These changes reflect the progressive loss of cortical neurons and disruption of neural networks."
How does EEG help in early diagnosis of Alzheimer's dementia?,"EEG can detect functional brain changes before structural MRI abnormalities appear. Key indicators include: slowing of the peak frequency of the posterior dominant rhythm (below 8 Hz is abnormal), increased theta/alpha ratio, reduced beta activity, and decreased coherence. Quantitative EEG (qEEG) analysis improves sensitivity. However, EEG alone is not diagnostic; it's combined with clinical assessment and biomarkers."
What frequency bands are affected in Alzheimer's disease?,"In Alzheimer's disease, alpha band (8-13 Hz) and beta band (13-30 Hz) activity is significantly reduced. Delta (0.5-4 Hz) and theta (4-8 Hz) slow-wave activity is markedly increased. The dominant posterior alpha rhythm slows progressively with disease severity. Gamma band (>30 Hz) activity, associated with cognitive binding, is also reduced."
Can EEG differentiate between different types of dementia?,"EEG has some ability to differentiate dementias. Alzheimer's shows progressive alpha slowing and frontal delta. Lewy Body Dementia (LBD) often has characteristic posterior slow-wave transients and fluctuating alpha activity. Creutzfeldt-Jakob disease (CJD) shows pathognomonic periodic sharp wave complexes (PSWCs). Vascular dementia may show focal slowing. Frontotemporal dementia often has relatively normal EEG early on. Combined with clinical features and biomarkers, EEG improves diagnostic accuracy."
What are the limitations of EEG in Alzheimer's diagnosis?,"EEG limitations include: lack of disease specificity (changes also seen in other dementias), high variability between individuals, sensitivity affected by medications (especially sedatives/benzodiazepines), technical challenges including electrode placement and artifact removal, and the need for expert interpretation. EEG findings may be normal in early Alzheimer's, and results must always be integrated with clinical and other diagnostic information."
What is quantitative EEG (qEEG) and how is it used in neurology?,"Quantitative EEG (qEEG) applies mathematical and statistical analysis to digitized EEG signals. It computes power spectra, coherence, asymmetry, and other measures from standard EEG. In neurology, qEEG is used to track disease progression in dementia, detect subtle abnormalities not visible on raw EEG, monitor anesthetic depth during surgery, assess traumatic brain injury outcomes, and research brain connectivity. It provides objective metrics for longitudinal monitoring but requires careful interpretation."
How is Alzheimer's disease classified into stages?,"Alzheimer's is classified into: (1) No Impairment – normal cognition; (2) Very Mild – subjective memory complaints, minimal functional impact; (3) Mild – noticeable memory problems, some difficulty with complex tasks; (4) Moderate – significant memory deficits, needs help with daily activities, behavioral changes common; (5) Severe – complete dependence, loss of speech, incontinence, and inability to care for oneself. The CDR (Clinical Dementia Rating) scale 0-3 and GDS (Global Deterioration Scale) 1-7 are standard staging systems."
What medications are used to treat Alzheimer's disease?,"FDA-approved medications include: Cholinesterase inhibitors (Donepezil, Rivastigmine, Galantamine) – first-line for mild-to-moderate Alzheimer's, improving acetylcholine levels. Memantine – an NMDA receptor antagonist used in moderate-to-severe Alzheimer's, protecting neurons from glutamate excitotoxicity. Lecanemab (Leqembi) and Aduhelm – newer anti-amyloid antibodies targeting disease modification. Combination therapy (Donepezil + Memantine) is often used in moderate-severe stages. Symptomatic management includes antidepressants, antipsychotics for behavioral symptoms (used cautiously)."
What is epilepsy and how is it diagnosed?,"Epilepsy is a neurological disorder characterized by recurrent, unprovoked seizures due to abnormal electrical activity in the brain. Diagnosis requires at least two unprovoked seizures more than 24 hours apart, OR one seizure with high recurrence risk (based on EEG or imaging abnormalities). Diagnosis involves: detailed seizure history, neurological examination, EEG (essential – may show epileptiform discharges like spikes, sharp waves), brain MRI, and bloodwork. Video-EEG monitoring is the gold standard for characterizing seizure type."
What are the different types of seizures?,"Seizures are classified as: Focal onset – begin in one brain area (formerly 'partial'). Can be aware (formerly simple partial) or impaired awareness (formerly complex partial). Generalized onset – involve both hemispheres from the start: tonic-clonic (grand mal), absence (petit mal), myoclonic, atonic, tonic, clonic. Unknown onset – when the beginning cannot be determined. Focal to bilateral tonic-clonic – start focal, then spread. Correct classification guides treatment selection and prognosis."
